min_int_sim,max_int_sim,avg_int_sim,min_uint_sim,max_uint_sim,avg_uint_sim,max_dist,avg_dist,dow_int,dow_uint,owner_int,owner_uint
0.0411866314,0.1236175812,0.1181062027,0.0503741024,0.0594609271,0.0538795023,0.199129672,0.1952217175,0.0788292701,0.015740677,0.021141857,0.0433118593
0.0414681969,0.1364523792,0.1342687394,0.049662096,0.0603459313,0.0557952246,0.1730711192,0.1661481116,0.079171469,0.0190392816,0.0261711486,0.0584063026
0.0400940566,0.1359519623,0.1368073625,0.05186544,0.0613134871,0.0611852031,0.1450212097,0.1854787923,0.078945528,0.0135174948,0.0222787928,0.0675406708
0.0445949717,0.1275635944,0.1268118127,0.0576025924,0.0628046358,0.0608229511,0.1595172368,0.1669781008,0.0745491988,0.0140705272,0.0263690137,0.0783153647
0.0399031944,0.1342594899,0.1430435285,0.0520139392,0.0621350609,0.054555088,0.1617711821,0.1729289849,0.0805428249,0.0156731128,0.019639313,0.0635342815
0.0470825899,0.1315585507,0.1249403594,0.0525910367,0.0632567119,0.0557760573,0.1559508505,0.1825383237,0.0717309954,0.014217872,0.0249413282,0.0754153244
0.0365710308,0.1343705581,0.1363275374,0.0560441039,0.0598290167,0.0620129419,0.1857356553,0.1696955469,0.0703584751,0.0153016363,0.0205174159,0.0532360817
0.0404183956,0.1420082512,0.1264909035,0.045948611,0.0560578813,0.0524600099,0.173877417,0.1871288558,0.070636482,0.0143000902,0.0249621823,0.0657109202
0.0444062516,0.142940872,0.1212224181,0.0538668032,0.0625183844,0.062508566,0.1737795087,0.1665087144,0.0787058081,0.0162952972,0.0230460951,0.0542012811
0.0460294561,0.1266771245,0.140109975,0.0508480081,0.0593327633,0.0541802553,0.1830548226,0.1645099718,0.0795305536,0.0158489957,0.0230929737,0.0567851005
0.0421754775,0.1335400363,0.1308128839,0.0520816733,0.06070548,0.0573175799,0.1710908674,0.175713712,0.0763000605,0.0154004985,0.023216012,0.0616457187

0.0428994072,0.1120175001,0.1483193115,0.0518035236,0.0693472031,0.0603809561,0.1889198351,0.1593991967,0.0811181228,0.0151257417,0.0185843661,0.0520848358
0.0422181593,0.1328566767,0.1438453205,0.0500444682,0.0592954149,0.0514080775,0.1792077749,0.1772020785,0.0679811423,0.0151012385,0.021329009,0.0595106397
0.0416576315,0.142471972,0.1348782316,0.0517176401,0.0644345782,0.0512258872,0.1638878652,0.1809660399,0.071074589,0.0173008559,0.0166112058,0.0637735035
0.0440824957,0.1312503705,0.1455579895,0.0502056432,0.0639927781,0.0587747846,0.1601632477,0.1709526377,0.0811044487,0.0168696114,0.0220788537,0.0549671392
0.0459710375,0.130537273,0.1370302301,0.0537520551,0.0654838088,0.0602112447,0.170409667,0.163046883,0.0795562037,0.0184849915,0.0193704028,0.0561462027
0.0410108526,0.1504614716,0.1651536096,0.0508331331,0.0646389142,0.0526950932,0.1683979486,0.1474039351,0.0707644043,0.0157244265,0.0209866652,0.0519295458
0.0432088972,0.1275930026,0.145829223,0.0496151386,0.0603267859,0.0561088123,0.1488532304,0.1913604233,0.0736069551,0.0149305388,0.0202780726,0.0682889203
0.0473818497,0.1304493968,0.1652937933,0.0512519927,0.0597516529,0.0567146062,0.172179607,0.1586540136,0.0623077281,0.016367025,0.0202461576,0.0594021771
0.0442621133,0.1569071766,0.1140844028,0.0504967087,0.0616053329,0.0551403338,0.1902836782,0.169065755,0.0711862093,0.0152780876,0.0268220917,0.04486811
0.039952663,0.1388667711,0.151647518,0.0506143687,0.0645953963,0.0585554812,0.1657369754,0.1451501042,0.0838418329,0.0161720528,0.0245439745,0.0603228619
0.0432645107,0.1353411611,0.145163963,0.0510334672,0.0633471865,0.0561215277,0.170803983,0.1663201067,0.0742541636,0.016135457,0.0210850799,0.0571293936
